YEAR,CPV,ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,VALUE_EURO_FIN_2
2015,45000000,201570,DE,NL,1078360
2015,45000000,201570,DE,NL,1078360
2009,03121100,2009334,DE,ES,286798.5
2009,33100000,2009337,IT,IS,2121037.5
2009,33141310,2009352,PL,UK,51016.13
2009,24000000,2009361,FR,BE,392934.09
2009,18000000,2009412,IT,HU,1623206
2009,18000000,2009414,IT,BG,1606970
2009,18000000,2009414,IT,BG,1606970
2009,18000000,2009414,IT,BG,1606970
2009,18000000,2009414,IT,BG,1606970
2009,18000000,2009414,IT,BG,1606970
2009,39294000,2009418,PL,DE,2284994.22
2009,71400000,2009534,ES,FR,475600
2009,64200000,2009585,UK,IE,29500000
2009,79314000,2009653,PL,FR,724420
2009,42414500,2009711,GR,CN,18669000
2010,33151000,2010156,FI,SE,2015000
2010,44470000,2010162,FI,EE,83000
2010,33000000,2010175,PL,UK,122353.9
2010,32260000,2010250,RO,LI,865500
2010,30175000,2010251,RO,LI,875000
2010,30144300,2010260,DE,AT,203342
2010,38400000,2010265,PL,DE,58500
2010,71356200,2010398,RO,ES,449600
2010,32510000,2010460,FI,SE,29885000
2010,31173000,2010476,RO,IT,530459.14
2010,31173000,2010476,RO,IT,530459.14
2010,31173000,2010476,RO,AT,530459.14
2010,31682540,2010479,RO,IT,17773620.44
2010,31682540,2010479,RO,IT,17773620.44
2010,31682540,2010479,RO,IT,17773620.44
2010,33100000,2010959,PL,UK,270468.52
2010,33100000,2010959,PL,UK,270468.52
2011,45200000,2011201,PL,CZ,95440990.15
2011,45000000,2011227,FR,MC,6452420
2011,38124000,2011281,CY,FI,270000
2011,33696400,2011320,PL,DE,1340520.8
2011,33696400,2011320,PL,DE,1340520.8
2011,33696400,2011320,PL,DE,1340520.8
2011,33696400,2011320,PL,DE,1340520.8
2011,15893000,2011327,FR,DE,4190604
2011,15893000,2011327,FR,DE,4190604
2011,38540000,2011354,PL,DE,527474.65
2011,19200000,2011363,FR,BE,530000
2011,19200000,2011364,FR,IT,11575600
2011,31710000,2011381,RO,IL,12900000
2011,42942200,2011460,PL,DE,188564.77
2011,35631200,2011480,FR,NO,342796.82
2011,33100000,2011481,FR,IE,4387808
2011,33100000,2011481,FR,DE,4387808
2011,33100000,2011481,FR,IE,4387808
2011,33696500,2011490,PL,CH,37777.51
2011,72268000,2011514,SE,US,43821.84
2011,79311200,2011598,FR,DE,398960
2011,75211200,2011690,DE,UK,266725
2012,45000000,2012194,RO,ES,5458847.35
2012,33141000,2012290,PL,CZ,829757.45
2012,09130000,2012337,LV,DK,4268556.44
2012,42900000,2012344,PL,DE,6500000
2012,15896000,2012374,FR,DE,1581793.81
2012,15896000,2012374,FR,DE,1581793.81
2012,22000000,2012413,PL,UK,175263.61
2012,33140000,2012431,PL,UK,97688.36
2012,33140000,2012431,PL,UK,97688.36
2012,33140000,2012431,PL,UK,97688.36
2012,33140000,2012431,PL,UK,97688.36
2012,33140000,2012431,PL,UK,97688.36
2012,33140000,2012431,PL,UK,97688.36
2012,33696500,2012433,PL,CH,160020.98
2012,33111000,2012456,PL,NL,813482.45
2012,33111000,2012456,PL,NL,813482.45
2012,38431000,2012481,ES,CH,1220000
2012,42967000,2012487,ES,FR,402605.6
2012,38000000,2012526,ES,US,197813.2
2012,38431000,2012532,ES,CH,123500
2012,38431000,2012532,ES,CH,123500
2012,33140000,2012538,PL,UK,166984.36
2012,38910000,2012561,CZ,DE,207230.72
2012,90919200,2012669,ES,IT,223570.9
2012,72320000,2012685,SI,NL,402156.12
2013,16340000,2013168,FR,DE,161657.5
2013,33600000,2013186,PL,RO,979135.72
2013,22113000,2013196,SI,UK,96000
2013,22113000,2013196,SI,UK,96000
2013,39180000,2013221,LT,DE,523649.32
2013,35000000,2013233,IT,CZ,5302206.2
2013,37411200,2013270,UK,BE,208999.6
2013,66515200,2013348,FR,GP,1549859.54
2013,66515200,2013348,FR,GP,1549859.54
2013,44212263,2013566,CH,IT,2366470.64
2013,44212263,2013568,CH,CZ,2332967.27
2014,45215100,2014127,FR,IT,84140064
2014,33111710,2014350,PL,BE,3083286.66
2014,33111710,2014350,PL,BE,3083286.66
2014,45454000,2014360,FR,NL,150000
2014,38900000,2014400,PL,PT,129340.17
2014,33141110,2014403,PL,UK,603642.43
2014,22113000,2014460,IE,UK,234297
2014,22113000,2014460,IE,UK,234297
2014,22113000,2014460,IE,UK,234297
2014,38600000,2014461,FR,SE,127000
2014,33195000,2014525,UK,IE,74430605.87
2014,33195000,2014525,UK,IE,74430605.87
2014,33195000,2014525,UK,IE,74430605.87
2014,35320000,2014539,LT,BE,4282564.5
2014,79340000,2014791,HU,LU,1000000
2015,45421000,2015120,FR,MC,15276
2015,42997300,2015363,CZ,SK,15359.8
2015,79800000,2015378,FR,IT,20330
2015,33100000,2015402,FR,CH,30000
2015,44613700,2015429,AT,DE,180200
2015,42600000,2015434,PL,UK,546138.95
2015,43135000,2015435,LT,DE,1529400
2015,34144700,2015502,FR,AL,145226.95
2015,38510000,2015517,FR,DE,618600
2015,19520000,2015572,AT,DE,576119.5
2015,35813000,2015588,LT,PL,801705.8
2015,35813000,2015588,LT,PL,801705.8
2015,92511000,2015886,EE,US,107563.05
2015,72320000,2015908,SI,NL,613827.91
2009,38652120,20091523,CZ,DE,668577.64
2009,38540000,20091553,PL,FR,1425450
2009,35310000,20091573,RO,NO,298120.24
2009,35110000,20091608,EE,FI,241830.69
2009,38000000,20091614,EE,NL,723999.97
2009,34114100,20091640,FR,ES,1225399.8
2009,34114100,20091640,FR,ES,1225399.8
2009,33651660,20091660,IT,LT,479350
2009,48900000,20091663,RO,DE,641393
2009,32000000,20091667,RO,SE,224072
2009,37412000,20091721,IE,UK,665000
2009,37412000,20091721,IE,UK,665000
2009,37412000,20091721,IE,UK,665000
2009,65100000,20091994,BG,BE,135238.78
2009,45231400,20092094,FI,FR,8211938
2009,38000000,20092777,NL,DE,841900
2009,48121000,20092856,PL,IT,632000
2009,33696200,20092859,PL,CH,129216.89
2009,32510000,20092894,DK,SE,9854319.1
2009,30211000,20092926,PL,US,27455640.86
2009,66510000,20092975,ES,IE,106584.16
2009,72267000,20093125,FR,UK,235685.62
2009,66131100,20093173,UK,US,224482
2009,72300000,20093189,PL,US,644321.77
2009,42961200,20093221,NL,DE,2400000
2009,18000000,20093926,FR,BE,21739.13
2009,30232100,20093969,DE,FI,2659432
2009,03450000,20093999,FR,DE,1288607.59
2009,03450000,20093999,FR,BE,1288607.59
2009,03450000,20093999,FR,BE,1288607.59
2009,03450000,20093999,FR,BE,1288607.59
2009,33111650,20094044,RO,GR,297176.82
2009,38510000,20094049,RO,AT,7414869.94
2009,38510000,20094049,RO,AT,7414869.94
2009,38510000,20094049,RO,AT,7414869.94
2009,33100000,20094060,LT,NL,200180
2009,34144210,20094092,BE,DE,329901.98
2009,38430000,20094126,LT,AT,252045.01
2009,33000000,20094154,SE,FR,890000
2009,76500000,20094171,SI,DE,413555
2009,76500000,20094171,SI,DE,413555
2009,80330000,20094257,IE,UK,86203
2009,71000000,20094368,RO,FR,1985226.1
2009,72590000,20094371,RO,AT,18830873.95
2009,71241000,20094447,DK,NL,168500
2009,38300000,20094566,NO,SE,2749833.86
2009,45233100,20095110,RO,IT,17403212.34
2009,33124131,20095154,ES,HR,413100
2009,43100000,20095172,SI,DE,1845000
2009,35400000,20095238,RO,IL,742500
2009,33162100,20095245,SE,DK,14125490.86
2009,33162100,20095245,SE,DK,14125490.86
2009,48100000,20095276,DK,NZ,214874.7
2009,34511100,20095278,PL,EE,4713929.2
